type,identifier,url,topic,curated
PMC,PMC3281798,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3281798/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PMC,PMC7293737,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293737/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,19325030,https://pubmed.ncbi.nlm.nih.gov/19325030/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,19409856,https://pubmed.ncbi.nlm.nih.gov/19409856/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,20627823,https://pubmed.ncbi.nlm.nih.gov/20627823/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,22337285,https://pubmed.ncbi.nlm.nih.gov/22337285/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,29681797,https://pubmed.ncbi.nlm.nih.gov/29681797/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,30510442,https://pubmed.ncbi.nlm.nih.gov/30510442/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,31914367,https://pubmed.ncbi.nlm.nih.gov/31914367/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,33279640,https://pubmed.ncbi.nlm.nih.gov/33279640/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,33679287,https://pubmed.ncbi.nlm.nih.gov/33679287/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,34906281,https://pubmed.ncbi.nlm.nih.gov/34906281/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,35957508,https://pubmed.ncbi.nlm.nih.gov/35957508/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,36133809,https://pubmed.ncbi.nlm.nih.gov/36133809/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,36160326,https://pubmed.ncbi.nlm.nih.gov/36160326/,"Acupuncture, hypnotism, yoga & transcranial dire",false
PubMed,37654656,https://pubmed.ncbi.nlm.nih.gov/37654656/,"Acupuncture, hypnotism, yoga & transcranial dire",false
DOI,10.1007/978-1-4613-4286-1_23,https://doi.org/10.1007/978-1-4613-4286-1_23,Cancer,false
DOI,10.1007/978-3-030-89918-9,https://doi.org/10.1007/978-3-030-89918-9,Cancer,false
DOI,10.1007/978-3-030-89918-9_1,https://doi.org/10.1007/978-3-030-89918-9_1,Cancer,false
DOI,10.1007/978-3-030-89918-9_2,https://doi.org/10.1007/978-3-030-89918-9_2,Cancer,false
DOI,10.1007/978-3-030-89918-9_3,https://doi.org/10.1007/978-3-030-89918-9_3,Cancer,false
DOI,10.1007/978-3-030-89918-9_4,https://doi.org/10.1007/978-3-030-89918-9_4,Cancer,false
DOI,10.1007/978-3-030-89918-9_5,https://doi.org/10.1007/978-3-030-89918-9_5,Cancer,false
DOI,10.1007/978-3-030-89918-9_6,https://doi.org/10.1007/978-3-030-89918-9_6,Cancer,false
DOI,10.1007/978-3-030-89918-9_7,https://doi.org/10.1007/978-3-030-89918-9_7,Cancer,false
DOI,10.1007/978-3-030-89918-9_8,https://doi.org/10.1007/978-3-030-89918-9_8,Cancer,false
DOI,10.1007/978-981-16-9232-1_12,https://doi.org/10.1007/978-981-16-9232-1_12,Cancer,false
DOI,10.1007/s00520-019-05280-4,https://doi.org/10.1007/s00520-019-05280-4,Cancer,false
DOI,10.1007/s13346-022-01137-2,https://doi.org/10.1007/s13346-022-01137-2,Cancer,false
DOI,10.1021/acsomega.2c00635,https://doi.org/10.1021/acsomega.2c00635,Cancer,false
